In welchem Bereich sollte ich noch einmal meine Fähigkeiten verbessern?; SuggestRepetition
Wo kann ich noch bessere Ergebnisse erzielen?; SuggestImprovement
Ich habe nicht viel Zeit heute, was empfiehlst du mir zu lernen?; InformTimeConstraint
Wäre dankbar für deine Ratschläge.; Help
Was steht als nächstes auf dem Lehrplan?; GetNextModuleFrage
Welche Themen sollten noch einmal geübt werden, um meine Kenntnisse zu verbessern?; SuggestRepetition
Was kann ich als nächstes erwarten?; GetNextModuleFrage
Ich bin so froh, dass du da bist, danke!; Thanks
Ich bestätige das.; Yes
Was ist die Bedeutung von Regression?; SearchForDefinition
Kann ich einen Test absolvieren, um zu sehen, wie viel ich in diesem Thema gelernt habe?; RequestTest
Benötige deinen Rat und deine Hilfe.; Help
Welches Thema kann ich schnell durchgehen, um Zeit zu sparen?; InformTimeConstraint
In welchen Bereichen benötige ich nochmal Übung?; SuggestRepetition
Welches Modul kann ich in einer kurzen halben Stunde absolvieren?; InformTimeConstraint
Ich benötige mehr Suchergebnisse, um meine Recherche zu vervollständigen. Kannst du mir bitte weiterhelfen?; LoadMoreSearchResults
Welche Anwendungen von Regression gibt es?; SearchForContent
Gibt es Module, die ich nochmal durchgehen sollte?; SuggestRepetition
Hallo, wie war dein Tag?; Greet
Ich bin dir dankbar!; Thanks
Welche Themen sind noch offen?; RequestAlternativeNextModule
Ich habe alle Anforderungen des Moduls erfolgreich gemeistert.; GetNextModule
Kann ich noch einmal durch eine bestimmte Lektion gehen?; SuggestRepetition
Ich danke dir für deine unendliche Geduld!; Thanks
Wie viele Unterrichtseinheiten sind noch übrig?; GetProgress
Was ist das nächste Modul auf der Agenda?; GetNextModuleFrage
Ich habe alle Themen des Moduls durchgearbeitet und bin nun fertig.; GetNextModule
Ich möchte mich bei dir bedanken!; Thanks
Das ist nicht meine Meinung.; No
Was sind meine Optionen, um mehr zu erfahren?; RequestAlternativeNextModule
Wo muss ich noch mehr Zeit investieren?; SuggestImprovement
Ich möchte mich nur auf Bücher konzentrieren.; ChangeConfig
Ich strebe danach, in drei Monaten den Kurs erfolgreich abzuschließen.; InformCompletionGoal
Wie viele Einheiten stehen noch an?; GetProgress
Welche Themen erfordern noch mehr Aufmerksamkeit von mir?; SuggestImprovement
In drei Monaten möchte ich mit dem Kurs fertig sein.; InformCompletionGoal
Ich plane, in drei Monaten mit dem Kurs fertig zu sein.; InformCompletionGoal
Welche Bereiche sollten noch vertieft werden?; SuggestImprovement
Kannst du mir bitte alle weiteren relevanten Suchergebnisse anzeigen?; LoadMoreSearchResults
Ich habe nicht viel Zeit heute, können Sie mir eine kurze Einheit empfehlen?; InformTimeConstraint
Natürlich.; Yes
Ich möchte den Kurs in drei Monaten beendet haben.; InformCompletionGoal
Welches Thema braucht noch einmal Aufmerksamkeit?; SuggestRepetition
Wie viele Themenbereiche gibt es insgesamt?; GetProgress
Wie viele Abschnitte sind noch übrig?; GetProgress
Wie geht's dir?; Greet
Welches Thema sollte ich als Nächstes untersuchen?; GetNextModuleFrage
Gibt es noch weitere Einheiten, die ich durchlaufen muss?; GetProgress
Welche anderen Themen können mir helfen, meine Ziele zu erreichen?; RequestAlternativeNextModule
Ich möchte mein Lernen auf eine halbe Stunde beschränken, was schlägst du vor?; InformTimeConstraint
Kein Interesse.; No
Ich weiß deine Hilfe wirklich zu schätzen, danke!; Thanks
Ich möchte in drei Monaten alle Module des Kurses durchgearbeitet haben.; InformCompletionGoal
Kannst du mich beraten und unterstützen?; Help
Gibt es eine Option, nur Buchressourcen zu durchsuchen?; ChangeConfig
Wie kann ich dich programmieren?; Help
Was sind die nächsten Schritte im Lernprozess?; GetNextModuleFrage
Könntest du mir nur Buchempfehlungen geben?; ChangeConfig
Könnte ich einen Test absolvieren, um meine Fortschritte in diesem Thema zu messen?; RequestTest
Brauche Rat und Beistand.; Help
Ich würde gerne einen Test zu diesem Thema absolvieren, gibt es einen verfügbaren?; RequestTest
Ich bin nun mit diesem Modul fertig.; GetNextModule
Kann ich noch einmal eine bestimmte Einheit üben?; SuggestRepetition
Wie kann ich dich bedienen?; Help
Wie kann ich dir helfen?; Greet
In welchen Bereichen muss ich noch mehr tun?; SuggestImprovement
Ich danke dir für deine Freundlichkeit und Hilfe!; Thanks
In drei Monaten möchte ich den Kurs erfolgreich absolvieren.; InformCompletionGoal
Welche weiteren Lektionen stehen zur Verfügung?; RequestAlternativeNextModule
Das ist nicht erforderlich.; No
Wäre es möglich, einen Test zum Thema zu machen, um meine Fähigkeiten zu verbessern?; RequestTest
Welche anderen Themen sind noch relevant für meine Ausbildung?; RequestAlternativeNextModule
Könntest du mir bitte mehr Suchergebnisse präsentieren?; LoadMoreSearchResults
Das ist nicht gestattet.; No
Das hast du richtig erkannt.; Yes
Richtig erkannt.; Yes
Welche anderen Inhalte gibt es?; RequestAlternativeNextModule
Innerhalb von drei Monaten möchte ich den Kurs erfolgreich absolvieren.; InformCompletionGoal
Ich möchte in drei Monaten den Kurs erfolgreich beendet haben.; InformCompletionGoal
Das ist nicht passend.; No
Welches Thema ist am besten für eine halbe Stunde Lernzeit geeignet?; InformTimeConstraint
Wie viele Lerninhalte muss ich noch durchgehen?; GetProgress
Ich bin wirklich froh, dass es dich gibt!; Thanks
Das ist nicht die Wahrheit.; No
Ich will in drei Monaten alle Themen des Kurses durchgearbeitet haben.; InformCompletionGoal
Ich bin nur an Büchern interessiert, kannst du mir helfen?; ChangeConfig
Welche Themen sollten erneut behandelt werden?; SuggestRepetition
In welchen Bereichen benötige ich noch Übung?; SuggestRepetition
In welchen Bereichen sollte ich nochmal üben?; SuggestRepetition
Wo kann ich noch Wissen aufbauen?; SuggestImprovement
Mach's gut.; Bye
Exakt, so ist es.; Yes
Wo kann ich noch dazulernen?; SuggestImprovement
In drei Monaten will ich den Kurs erfolgreich absolvieren.; InformCompletionGoal
Ich möchte meinen Kurs innerhalb von drei Monaten abschließen.; InformCompletionGoal
Innerhalb der nächsten drei Monate möchte ich den Kurs abschließen.; InformCompletionGoal
Wie läuft's?; Greet
Kannst du mir bitte alle verfügbaren Ergebnisse anzeigen, die meiner Suche entsprechen?; LoadMoreSearchResults
Welche Module sollten noch einmal bearbeitet werden?; SuggestRepetition
Ich schätze deine Zeit und Mühe!; Thanks
Bis dann.; Bye
Ich möchte mich auf eine Prüfung vorbereiten, gibt es einen Test, den ich machen kann?; RequestTest
Welches Modul kann ich in 30 Minuten erledigen?; InformTimeConstraint
Ich habe nicht viel Zeit, aber ich möchte trotzdem lernen, welche Optionen gibt es?; InformTimeConstraint
Bitte schlage mir nur Buchquellen zum Lesen vor.; ChangeConfig
Ja, das passt.; Yes
Das ist nicht wahrheitsgemäß.; No
Ich möchte mein Wissen in diesem Bereich testen.; RequestTest
Was sind die nächsten Kapitel?; GetNextModuleFrage
Wie viele Kapitel muss ich noch bewältigen?; GetProgress
Wo kann ich meine Fähigkeiten noch ausbauen?; SuggestImprovement
Was sind meine nächsten Möglichkeiten für das Lernen?; RequestAlternativeNextModule
Was sind meine nächsten Lernziele?; GetNextModuleFrage
Welche Lernmodule empfiehlst du mir als nächstes?; RequestAlternativeNextModule
Ich verabschiede mich für jetzt!; Bye
Können wir die Suche auf Bücher eingrenzen?; ChangeConfig
Danke für deine wertvolle Zeit und Mühe!; Thanks
Welche Themenbereiche kommen als nächstes?; GetNextModuleFrage
Gibt es noch mehr Resultate, die relevant für meine Suche sind?; LoadMoreSearchResults
Das kann ich nicht zulassen.; No
Genau das.; Yes
Das ist korrekt.; Yes
Welche Themen sind kurz genug für eine halbe Stunde Lernzeit?; InformTimeConstraint
Es ist mein Ziel, in drei Monaten mit dem Kurs fertig zu sein.; InformCompletionGoal
Das ist nicht akzeptabel.; No
Das ist richtig.; Yes
Wo kann ich eine Einführung in Regression finden?; SearchForContent
Wo liegen meine Schwächen und wo kann ich mich noch verbessern?; SuggestImprovement
Ich habe alle Aufgaben in diesem Modul erfolgreich gemeistert.; GetNextModule
Welches Thema sollte ich als nächstes angehen?; GetNextModuleFrage
In drei Monaten sollte ich mit dem Kurs fertig sein.; InformCompletionGoal
Gibt es noch andere relevante Suchergebnisse?; LoadMoreSearchResults
In drei Monaten möchte ich den Kurs erfolgreich durchlaufen haben.; InformCompletionGoal
In welchen Bereichen sollte ich mich noch weiterbilden?; SuggestImprovement
Mein Ziel ist es, innerhalb von drei Monaten den Kurs zu beenden.; InformCompletionGoal
Lass mich nur Buchressourcen finden.; ChangeConfig
Wo geht es als nächstes weiter?; GetNextModuleFrage
Welche Themen sind kurz genug, um in nur 30 Minuten abgeschlossen zu werden?; InformTimeConstraint
Das kann ich nicht erlauben.; No
Auf welchen Gebieten benötige ich noch mehr Übung?; SuggestImprovement
Zeige mir bitte alle weiteren passenden Ergebnisse.; LoadMoreSearchResults
Das kann ich nicht bestätigen.; No
Wie geht man mit Multikollinearität in der Regression um?; SearchForContent
Was ist der nächste Kursinhalt?; GetNextModuleFrage
Zeige mir weitere Ergebnisse.; LoadMoreSearchResults
Wie viele Einheiten gibt es noch zu bearbeiten?; GetProgress
Welche weiteren Lerninhalte sind für mich verfügbar?; RequestAlternativeNextModule
Wäre es sinnvoll, einen Test zu machen, bevor ich mit dem nächsten Modul beginne?; RequestTest
Zeige mir bitte alle verfügbaren Ergebnisse.; LoadMoreSearchResults
Wir hören voneinander!; Bye
Wo kann ich noch wachsen und mich weiterentwickeln?; SuggestImprovement
Ich habe 30 Minuten übrig, welche Lerneinheiten sind am effektivsten?; InformTimeConstraint
Gibt es noch Bereiche, in denen ich mich unsicher fühle?; SuggestImprovement
Wo kann ich die Themen finden, die ich bereits behandelt habe?; SuggestRepetition
Leider nicht.; No
Wie bestimmt man die Stichprobengröße in der Regression?; SearchForContent
Ich brauche weitere Resultate.; LoadMoreSearchResults
Was kann ich sonst noch machen?; RequestAlternativeNextModule
Super, vielen Dank!; Thanks
Gibt es noch weitere relevante Informationen zu diesem Thema, die ich übersehen habe?; LoadMoreSearchResults
Welches Thema kommt als nächstes dran?; GetNextModuleFrage
Ist es sinnvoll, einen Test zu diesem Thema zu machen?; RequestTest
Wie viele Module gibt es insgesamt?; GetProgress
Was ist die nächste Lektion auf meiner Lernliste?; GetNextModuleFrage
Welches Modul folgt als nächstes?; GetNextModuleFrage
Wie viele Lektionen habe ich noch zu absolvieren?; GetProgress
Kann ich ein Quiz oder einen Test zu diesem Thema absolvieren?; RequestTest
Mein Ziel ist es, in drei Monaten alle Kurseinheiten durchgearbeitet zu haben.; InformCompletionGoal
Welches Kapitel sollte ich noch einmal ansehen?; SuggestRepetition
Wie viele Lernstufen gibt es noch?; GetProgress
Bitte empfehle mir nur Bücher zum Lesen.; ChangeConfig
Hallo; Greet
Kann ich einen Test machen, um mein Verständnis für das Thema zu verbessern?; RequestTest
Ich habe den Plan, in drei Monaten den Kurs erfolgreich zu absolvieren.; InformCompletionGoal
Bis bald!; Bye
Welche Themen warten auf mich als nächstes?; GetNextModuleFrage
Hallo, wie geht's dir?; Greet
Könntest du mir bitte weitere passende Suchergebnisse präsentieren?; LoadMoreSearchResults
Wir sehen uns später.; Bye
Welche Themen sind in einer kurzen Zeitspanne erlernbar?; InformTimeConstraint
In drei Monaten möchte ich den Kurs abgeschlossen haben.; InformCompletionGoal
Mein Ziel ist es, in drei Monaten abzuschließen.; InformCompletionGoal
Gibt es noch weitere Module, die ich durchlaufen muss?; GetProgress
Welches Thema sollte ich als Nächstes bearbeiten?; GetNextModuleFrage
Was ist der nächste Themenblock?; GetNextModuleFrage
Welche anderen Themen stehen zur Verfügung?; RequestAlternativeNextModule
Na, alles klar?; Greet
Wo kann ich spezifische Anwendungen von Regression finden?; SearchForContent
Ja, das ist genau das.; Yes
Kannst du mir nur Buchressourcen empfehlen?; ChangeConfig
Ich möchte mich nur auf Buchempfehlungen konzentrieren.; ChangeConfig
Ich habe vor, innerhalb von drei Monaten den Kurs erfolgreich abzuschließen.; InformCompletionGoal
Wie viele Lerninhalte gibt es insgesamt in diesem Kurs?; GetProgress
Danke für alles, was du getan hast!; Thanks
Wie modelliert man kategoriale Variablen in der Regression?; SearchForContent
Welche Informationsquellen gibt es zur Regression?; SearchForContent
Ich habe alle Übungen und Aufgaben des Moduls erfolgreich absolviert.; GetNextModule
Bitte empfehle mir nur Bücher.; ChangeConfig
Könntest du mir bitte weitere passende Ergebnisse präsentieren?; LoadMoreSearchResults
Ich habe alle Aufgaben erfolgreich erledigt.; GetNextModule
Welche Aufgaben kannst du erledigen?; Help
Bis bald und alles Gute!; Bye
Willkommen!; Greet
Wo kann ich meine Kenntnisse noch erweitern?; SuggestImprovement
Gibt es noch andere passende Suchergebnisse, die ich übersehen habe?; LoadMoreSearchResults
Ciao!; Bye
Selbstredend.; Yes
Wie viele Kurseinheiten muss ich noch bearbeiten?; GetProgress
Das ist nicht die richtige Antwort.; No
Mein Ziel ist es, innerhalb von drei Monaten den Kurs abzuschließen.; InformCompletionGoal
Ich danke dir aufrichtig!; Thanks
Könntest du mir bitte weitere Informationen zu diesem Thema zur Verfügung stellen, die ich noch nicht gesehen habe?; LoadMoreSearchResults
Was gibt es noch zu lernen?; GetNextModuleFrage
Na, wie läuft's?; Greet
Was sind die Bereiche, in denen ich noch Übung brauche?; SuggestRepetition
Was kannst du mir bieten?; Help
Was sind die Themen, die ich noch einmal durchgehen sollte?; SuggestRepetition
Hey!; Greet
Bis bald.; Bye
Welche Lektionen sollten nochmal durchgegangen werden?; SuggestRepetition
Ganz genau so.; Yes
Könnten Sie mir nur Buch-spezifische Informationen geben?; ChangeConfig
Gibt es eine Möglichkeit, nur Buchquellen zu haben?; ChangeConfig
Kannst du mir weitere relevante Suchergebnisse anzeigen, die ich übersehen habe?; LoadMoreSearchResults
Welche Fähigkeiten sollten noch trainiert werden?; SuggestImprovement
Kannst du mich auf Bücher spezialisieren?; ChangeConfig
Wo finde ich Lernmaterialien zu Regression?; SearchForContent
Was ist das nächste Modul in meiner Ausbildung?; GetNextModuleFrage
Kann ich einen Test durchführen, um mein Verständnis für dieses Thema zu überprüfen?; RequestTest
Ich habe alle erforderlichen Schritte in diesem Modul abgeschlossen.; GetNextModule
Danke, das ist sehr nett!; Thanks
Kannst du mich aufklären und unterstützen? ; Help
Zeig mir bitte alle Resultate.; LoadMoreSearchResults
Wie kann ich deine Fähigkeiten nutzen?; Help
Kannst du mir beistehen?; Help
Was sind meine Optionen für die nächste Lektion?; RequestAlternativeNextModule
Was sind meine Optionen für die nächste Lernphase?; RequestAlternativeNextModule
Auf Wiederhören.; Bye
Ich bevorzuge es, mich nur auf Bücher zu konzentrieren.; ChangeConfig
Was sind die Module, die ich noch einmal durchgehen sollte?; SuggestRepetition
Welche Bereiche sollte ich noch weiter ausbauen?; SuggestImprovement
Ich habe alle Lektionen des Moduls erfolgreich abgeschlossen.; GetNextModule
Schönen Tag noch.; Bye
Was ist die Definition von Regression?; SearchForDefinition
Hilfe; Help
Was ist die Bedeutung von Regression in der Datenanalyse?; SearchForDefinition
Wo finde ich Informationen zur Interpretation von Regressionsergebnissen?; SearchForContent
Wie viele Lerneinheiten muss ich noch durchgehen?; GetProgress
Wie viele Lernmodule gibt es noch zu bearbeiten?; GetProgress
Was steht auf deinem Plan?; Greet
Grüß Gott!; Greet
Ich will nur Buchergebnisse sehen.; ChangeConfig
Wo kann ich mehr über Regression erfahren?; SearchForContent
Nein, das ist nicht korrekt.; No
Mein Ziel ist es, in drei Monaten den Kurs erfolgreich zu beenden.; InformCompletionGoal
Ich habe alle Themen in diesem Modul vollständig verinnerlicht.; GetNextModule
Welches Thema kommt als Nächstes in meinem Studium?; GetNextModuleFrage
Wo kann ich die Inhalte eines bestimmten Moduls erneut durchgehen?; SuggestRepetition
Ich danke dir für deine Unterstützung!; Thanks
Welche Lerninhalte brauchen noch einmal Wiederholung?; SuggestRepetition
Welche Module sind kurz genug, um in nur 30 Minuten abgeschlossen zu werden?; InformTimeConstraint
Welche Lektion kommt nach dieser?; GetNextModuleFrage
Wie geht's, wie steht's?; Greet
Bitte schlage mir nur Buchquellen vor.; ChangeConfig
Das ist nicht angebracht.; No
Wie viele Lernmodule sind noch übrig?; GetProgress
Absolut richtig.; Yes
Ja, das ist die Antwort.; Yes
Könntest du mir bitte zusätzliche Suchergebnisse zeigen?; LoadMoreSearchResults
Kann ich nur Buchempfehlungen bekommen?; ChangeConfig
Hi, was kann ich für dich tun?; Greet
Wie viele Lerneinheiten stehen noch aus?; GetProgress
Was ist das nächste Modul auf dem Programm?; GetNextModuleFrage
Innerhalb von drei Monaten will ich den Kurs durchlaufen haben.; InformCompletionGoal
Wo habe ich noch Entwicklungspotential?; SuggestImprovement
Ich plane, den Kurs in drei Monaten zu beenden.; InformCompletionGoal
Was kann ich tun?; Help
Das ist nicht genehmigt.; No
Welche weiteren Themen und Module sind für mich relevant?; RequestAlternativeNextModule
Könnten wir uns nur auf Bücher konzentrieren?; ChangeConfig
Was wäre die effektivste Art, meine 30 Minuten Lernzeit zu nutzen?; InformTimeConstraint
In drei Monaten möchte ich den Kurs beendet haben.; InformCompletionGoal
Ich bin dankbar für deine Geduld!; Thanks
Wie viele Schritte sind noch zu durchlaufen?; GetProgress
Schönen Abend noch.; Bye
Kann ich die Inhalte eines bestimmten Moduls noch einmal durchgehen?; SuggestRepetition
In welchem Bereich kann ich noch einmal üben?; SuggestRepetition
Wo kann ich verschiedene Arten von Regressionsmodellen vergleichen?; SearchForContent
Kann ich die Inhalte eines bestimmten Moduls erneut durchgehen?; SuggestRepetition
Wo gibt es noch Nachholbedarf für mich?; SuggestImprovement
Welche Themen sollten noch behandelt werden?; SuggestImprovement
Gibt es Module, die ich noch einmal durchgehen sollte?; SuggestRepetition
Was kann ich wiederholen?; SuggestRepetition
Kannst du mir bitte weitere relevante Ergebnisse zeigen?; LoadMoreSearchResults
Guten Morgen!; Greet
Wie viele Kapitel sind noch zu absolvieren?; GetProgress
Nein, das ist nicht akkurat.; No
Wo kann ich Beispiele für Regression finden?; SearchForContent
Ich bin noch nicht zufrieden mit den Suchergebnissen. Könntest du mir weitere zeigen?; LoadMoreSearchResults
Wir sehen uns!; Bye
Kann ich weitere Lernmöglichkeiten nutzen?; RequestAlternativeNextModule
Bitte schlage mir nur Bücher zum Lesen vor.; ChangeConfig
Was kann ich noch tun?; RequestAlternativeNextModule
Welche anderen Themen gibt es noch?; RequestAlternativeNextModule
Hallo!; Greet
Gibt es eine Option, nur nach Büchern zu suchen?; ChangeConfig
Ich will den Kurs in drei Monaten abgeschlossen haben.; InformCompletionGoal
Das ist sehr großzügig von dir, danke!; Thanks
Selbstverständlich.; Yes
Was kann ich als nächstes in Angriff nehmen?; GetNextModuleFrage
Ich will in drei Monaten erfolgreich den Kurs abgeschlossen haben.; InformCompletionGoal
Wo kann ich weitere Lektionen finden?; RequestAlternativeNextModule
Was sind meine anderen Möglichkeiten, um mehr zu lernen?; RequestAlternativeNextModule
Was sind die nächsten Lernziele?; GetNextModuleFrage
Wo finde ich Informationen über Regression?; SearchForContent
Das bedeutet mir sehr viel, danke!; Thanks
Gibt es einen Test, den ich absolvieren kann, um mein Wissen zu bewerten?; RequestTest
Was sind meine nächsten Lernschritte?; RequestAlternativeNextModule
Kann ich einen Test absolvieren, um meine Kenntnisse zu diesem Thema zu überprüfen?; RequestTest
Auf Wiederhören!; Bye
Könnte ich einen Test machen, um zu sehen, wie gut ich in diesem Thema bin?; RequestTest
Welche Themen sollten noch einmal wiederholt werden?; SuggestRepetition
In wie viele Bereiche ist der Kurs unterteilt?; GetProgress
Danke!; Thanks
Gibt es eine Möglichkeit, mein Wissen durch einen Test oder eine Prüfung zu überprüfen?; RequestTest
In welchem Bereich sollte ich noch einmal üben?; SuggestRepetition
Wie viele Einheiten habe ich noch nicht abgeschlossen?; GetProgress
Kannst du mir sagen, wie viele Module ich noch durchgehen muss?; GetProgress
Auf den Punkt gebracht.; Yes
Ich bin mit diesem Kapitel nun durch.; GetNextModule
Absolut korrekt.; Yes
Ich habe heute nur eine halbe Stunde Zeit, was kann ich in dieser Zeit lernen?; InformTimeConstraint
Gibt es einen Test, um mein Wissen in diesem Thema zu überprüfen?; RequestTest
Wie viele Lernmodule habe ich noch vor mir?; GetProgress
Wie geht es dir heute?; Greet
Wo sollte ich meine Bemühungen verstärken?; SuggestImprovement
Kannst du mir nur Buchvorschläge geben?; ChangeConfig
Wie geht's heute?; Greet
Ich habe nur 30 Minuten Zeit zum Lernen, was ist das Beste, was ich tun kann?; InformTimeConstraint
Da hast du recht.; Yes
Was sind meine Alternativen für das nächste Modul?; RequestAlternativeNextModule
Kannst du mich beraten?; Help
Welche Lektionen sollten noch einmal betrachtet werden?; SuggestRepetition
In drei Monaten will ich den Kurs erfolgreich bestanden haben.; InformCompletionGoal
Wie funktionierst du?; Help
Definitiv.; Yes
Kannst du mir helfen?; Help
Das ist nicht akzeptiert.; No
Bitte filtere die Suchergebnisse auf Bücher.; ChangeConfig
Welches Modul kann ich in 30 Minuten abschließen?; InformTimeConstraint
Wo kann ich Tutorials zu Regression finden?; SearchForContent
Was wäre als Nächstes auf meiner Lernliste?; GetNextModuleFrage
Würde es mir helfen, einen Test in diesem Bereich zu machen?; RequestTest
Ich habe alle notwendigen Schritte in diesem Modul absolviert.; GetNextModule
Ich danke dir für deine Hilfe!; Thanks
Könntest du mir erklären, was der Begriff Regression?; SearchForDefinition
Wie viele Module gibt es noch zu durchlaufen?; GetProgress
Klar.; Yes
Nein, das stimmt nicht überein.; No
Ich habe alle Lerninhalte in diesem Modul erfolgreich absolviert.; GetNextModule
Willkommen zurück!; Greet
Wo finde ich Videos, die Regression erklären?; SearchForContent
Welche Themen sollten noch vertieft werden?; SuggestImprovement
Wie viele Kurseinheiten muss ich noch absolvieren?; GetProgress
Ganz genau.; Yes
Wie kann ich dich konfigurieren?; Help
Wo kann ich verschiedene Arten von Regression vergleichen?; SearchForContent
Was ist das nächste Kapitel, das ich durchgehen sollte?; RequestAlternativeNextModule
Welche anderen Einheiten gibt es noch?; RequestAlternativeNextModule
Wie arbeitest du?; Help
Die Bearbeitung des Moduls ist für mich abgeschlossen.; GetNextModule
Welches Thema ist als nächstes fällig?; GetNextModuleFrage
Ich habe das Modul vollständig bearbeitet.; GetNextModule
Das ist sehr aufmerksam von dir, danke!; Thanks
Wo kann ich die Einheiten finden, die ich bereits bearbeitet habe?; SuggestRepetition
Wie viele Einheiten sind noch übrig?; GetProgress
Wie viele Einheiten muss ich noch absolvieren, bevor der Kurs abgeschlossen ist?; GetProgress
Kannst du mir eine präzise Erklärung geben, was mit Regression gemeint ist?; SearchForDefinition
Was wäre ein guter nächster Schritt für mich?; RequestAlternativeNextModule
Du bist großartig, danke!; Thanks
Tschau!; Bye
Ich habe heute nur eine halbe Stunde Zeit, welche Lektion ist am besten für mich?; InformTimeConstraint
Welche Themen sollte ich noch vertiefen?; SuggestImprovement
So ist es.; Yes
Ich habe alle Lernziele in diesem Modul erreicht.; GetNextModule
Welche Inhalte kommen als nächstes?; GetNextModuleFrage
Welche Einheiten müssen noch einmal betrachtet werden?; SuggestRepetition
Welches Thema kann ich in einer kurzen halben Stunde durchgehen?; InformTimeConstraint
Kannst du mir eine schnelle Lektion empfehlen, die ich in 30 Minuten machen kann?; InformTimeConstraint
Das ist eindeutig.; Yes
Was sollte ich als Nächstes studieren?; GetNextModuleFrage
Stimmt genau.; Yes
Wie kann ich dich benutzen?; Help
Kann ich einen Test durchlaufen, um meine Kenntnisse in Bezug auf dieses Thema zu überprüfen?; RequestTest
Welche Lektionen warten als nächstes auf mich?; GetNextModuleFrage
Ich habe alle nötigen Anforderungen des Moduls erfüllt.; GetNextModule
Das stimmt nicht.; No
Alles klar.; Yes
Was sind die nächsten Themen?; GetNextModuleFrage
Was sind deine Fähigkeiten?; Help
Kannst du mir bitte noch mehr relevante Suchergebnisse zeigen?; LoadMoreSearchResults
Hiho!; Greet
Welche Lektionen sollte ich noch einmal ansehen?; SuggestRepetition
Das ist nicht der Fall.; No
Gibt es eine Option, nur Bücher zu suchen?; ChangeConfig
In welchen Themenbereichen sollte ich noch Fortschritte machen?; SuggestImprovement
Ich habe alle Lektionen durchgearbeitet und bin nun fertig.; GetNextModule
Gerne.; Yes
