Mach's gut.; Bye
Was sollte ich als Nächstes in Angriff nehmen?; GetNextModuleFrage
Was ist als Nächstes in meinem Lehrplan vorgesehen?; GetNextModuleFrage
Was ist das nächste Modul auf der Agenda?; GetNextModuleFrage
Wo geht es als nächstes weiter im Kurs?; GetNextModuleFrage
Wo geht es als nächstes weiter?; GetNextModuleFrage
Was sind die nächsten Themen?; GetNextModuleFrage
Welches Thema sollte ich als Nächstes vertiefen?; GetNextModuleFrage
Welches Thema sollte ich als Nächstes untersuchen?; GetNextModuleFrage
Welches Thema kommt als nächstes dran?; GetNextModuleFrage
Was ist als nächstes auf meinem Lernweg geplant?; GetNextModuleFrage
Was kommt als nächstes in meinem Lernplan?; GetNextModuleFrage
Welche Lektion sollte ich als Nächstes angehen?; GetNextModuleFrage
Was ist das nächste Lernziel?; GetNextModuleFrage
Welche Themen folgen auf dieses Modul?; GetNextModuleFrage
Welches Thema sollte ich als Nächstes bearbeiten?; GetNextModuleFrage
Was steht als nächstes auf dem Lehrplan?; GetNextModuleFrage
Was ist der nächste Kursinhalt?; GetNextModuleFrage
Welche Themenbereiche kommen als nächstes?; GetNextModuleFrage
Welches Thema soll ich als nächstes angehen?; GetNextModuleFrage
Welches Thema steht als nächstes an der Reihe?; GetNextModuleFrage
Welche Themenbereiche sind als nächstes dran?; GetNextModuleFrage
Was sind meine nächsten Lernziele?; GetNextModuleFrage
Was sind meine nächsten Lernschritte?; GetNextModuleFrage
Welche Lektionen warten als nächstes auf mich?; GetNextModuleFrage
Welche Inhalte warten als nächstes auf mich?; GetNextModuleFrage
Welches Kapitel sollte ich als Nächstes lesen?; GetNextModuleFrage
Welche Module kommen als nächstes?; GetNextModuleFrage
Welche Inhalte kommen als nächstes?; GetNextModuleFrage
Welche Themen warten auf mich als nächstes?; GetNextModuleFrage
Welche Inhalte sind als nächstes geplant?; GetNextModuleFrage
Was kann ich als nächstes lernen?; GetNextModuleFrage
Was sind die nächsten Lernmodule?; GetNextModuleFrage
Welches Thema kommt als Nächstes in meinem Studium?; GetNextModuleFrage
Was sind die nächsten Kapitel?; GetNextModuleFrage
Was sollte ich als Nächstes erforschen?; GetNextModuleFrage
Wie viele Kapitel habe ich bereits durchgelesen?; GetProgress
Wie viele Lernschritte fehlen noch bis zum Abschluss?; GetProgress
Wie viele Lernstufen gibt es noch?; GetProgress
Wie viele Module gibt es noch zu durchlaufen?; GetProgress
Wie viele Unterrichtseinheiten sind noch übrig?; GetProgress
Gibt es noch weitere Lerninhalte, die ich absolvieren muss?; GetProgress
Wie viele Themen gibt es noch zu bewältigen?; GetProgress
Wie viele Lerneinheiten muss ich noch durchgehen?; GetProgress
Wie viele Lerninhalte warten noch auf mich?; GetProgress
Wie viele Abschnitte gibt es in diesem Kurs?; GetProgress
Wie viele Abschnitte sind noch übrig?; GetProgress
Wie viele Lernmodule sind noch übrig?; GetProgress
Wie viele Einheiten habe ich noch nicht abgeschlossen?; GetProgress
Kannst du mir sagen, wie viele Themen ich noch durchgehen muss?; GetProgress
Wie viele Themen muss ich noch lernen?; GetProgress
Wie viele Lektionen habe ich noch zu absolvieren?; GetProgress
Kannst du mir sagen, wie viele Module ich noch durchgehen muss?; GetProgress
In wie viele Bereiche ist der Kurs unterteilt?; GetProgress
Wie viele Teile hat der Kurs?; GetProgress
Wie viele Kapitel gibt es insgesamt?; GetProgress
Wie viele Lerninhalte sind noch zu bearbeiten?; GetProgress
Wie viele Kapitel muss ich noch durchgehen?; GetProgress
Wie viele Schritte fehlen noch bis zum Ende?; GetProgress
Wie viele Abschnitte habe ich bereits abgeschlossen?; GetProgress
Wie viele Kurseinheiten muss ich noch bearbeiten?; GetProgress
Wie viele Kapitel muss ich noch lernen?; GetProgress
Gibt es noch weitere Themen, die ich durchgehen muss?; GetProgress
Wie viele Lerneinheiten stehen noch aus?; GetProgress
Wie viele Themenblöcke muss ich noch durchgehen?; GetProgress
Wie viele Abschnitte muss ich noch durchgehen?; GetProgress
Wie viele Themen habe ich bereits gelernt?; GetProgress
Wie viele Lernabschnitte muss ich noch durchgehen?; GetProgress
Wie viele Abschnitte beinhaltet das Programm?; GetProgress
Wie viele Einheiten stehen noch an?; GetProgress
Gibt es noch weitere Teile des Kurses, die ich durchlaufen muss?; GetProgress
Wie viele Abschnitte sind noch zu durchlaufen?; GetProgress
Wie viele Kurseinheiten muss ich noch absolvieren?; GetProgress
Wie viele Unterrichtseinheiten sind noch zu absolvieren?; GetProgress
Wie viele Lerninhalte gibt es insgesamt in diesem Kurs?; GetProgress
Wie viele Lektionen beinhaltet der Kurs?; GetProgress
Wie viele Einheiten gibt es noch zu bearbeiten?; GetProgress
Wie viele Abschnitte muss ich noch absolvieren?; GetProgress
Wie viele Einheiten sind noch zu absolvieren?; GetProgress
Wie viele Lernmodule habe ich noch vor mir?; GetProgress
Wie viele Einheiten muss ich noch abschließen?; GetProgress
Wie viele Einheiten muss ich noch absolvieren, bevor der Kurs abgeschlossen ist?; GetProgress
Wie viele Themen muss ich noch lernen, bevor der Kurs beendet ist?; GetProgress
Gibt es noch weitere Einheiten, die ich durchlaufen muss?; GetProgress
Wie viele Schritte sind noch zu absolvieren?; GetProgress
Wie viele Module sind noch übrig?; GetProgress
Gibt es eine Übersicht der Lerneinheiten?; GetProgress
Wie viele Lerninhalte muss ich noch durchgehen?; GetProgress
Wie viele Module gibt es?; GetProgress
Wie viele Einheiten sind noch übrig?; GetProgress
Kannst du mir sagen, wie viele Abschnitte noch vor mir liegen?; GetProgress
Kannst du mir sagen, wie viele Lernmodule noch vor mir liegen?; GetProgress
Wie geht's heute?; Greet
Hey, wie geht's?; Greet
Wie geht's?; Greet
Grüß Gott!; Greet
Tag!; Greet
Was hast du geplant?; Greet
Hallo und willkommen zurück!; Greet
Hi da!; Greet
Schön, dass du hier bist!; Greet
Was gibt's Neues bei dir?; Greet
Grüß dich!; Greet
Hey!; Greet
Hey, wie geht's dir heute?; Greet
Hallo, wie geht es dir heute?; Greet
Servus!; Greet
Hey, was hast du heute gemacht?; Greet
Was gibt es Neues bei dir?; Greet
Was steht auf deinem Plan?; Greet
Schön, dich wiederzusehen!; Greet
Was gibt es zu berichten?; Greet
Hallo und schön, dass du da bist!; Greet
Wie kann ich dir helfen?; Greet
Hi!; Greet
Hallo, wie kann ich dir weiterhelfen?; Greet
Guten Tag, wie geht es dir?; Greet
Willkommen!; Greet
Wie läuft es heute?; Greet
Wie war dein Tag bisher?; Greet
Was gibt's Neues?; Greet
Hey, schön dich zu treffen!; Greet
Schön, dich kennenzulernen!; Greet
Was hast du vor?; Greet
Hey, was gibt es Neues?; Greet
Aloha!; Greet
Na, alles klar?; Greet
Huhu!; Greet
Hallo da!; Greet
Hallo!; Greet
Hi, was kann ich für dich tun?; Greet
Schön, dich hier zu haben!; Greet
Guten Tag!; Greet
Hallo, wie geht's dir?; Greet
Na, wie läuft's?; Greet
Wie geht's dir heute?; Greet
Willkommen zurück!; Greet
Wie kann ich heute helfen?; Greet
Wie geht's dir?; Greet
Grüße!; Greet
Schön, dass du da bist!; Greet
Hallo, wie war dein Tag?; Greet
Schön dich zu sehen!; Greet
Was kannst du für mich tun?; Help
Kannst du mir helfen, eine bestimmte Aufgabe zu erledigen?; Help
Ich könnte eine Hand gebrauchen.; Help
Kannst du mich beraten?; Help
Wäre nett, wenn du mir helfen könntest.; Help
Wäre dankbar für deine Hilfe.; Help
Wie kann ich dich anweisen?; Help
Was sind deine Möglichkeiten?; Help
Welche Funktionen hast du?; Help
Benötige Hilfe hier!; Help
Benötige Hilfe bei meinem Problem.; Help
Kannst du mir helfen?; Help
Kannst du mir bei etwas helfen?; Help
Wie kann ich dich steuern?; Help
Benötige deinen Input und Rat.; Help
Kannst du mir dabei helfen, etwas zu tun?; Help
Wie kann ich dich optimieren?; Help
Wie funktionierst du?; Help
Wie kann ich dich nutzen?; Help
Hilfe; Help
Brauche Anleitung, kannst du helfen?; Help
Bin auf Hilfe angewiesen.; Help
Wie kann ich dich bedienen?; Help
Wie arbeitest du?; Help
Kannst du mir assistieren?; Help
Was für eine Art von Aufgaben kannst du bewältigen?; Help
Habe Fragen, kannst du helfen?; Help
Wie weit reichen deine Fähigkeiten?; Help
Was sind deine besonderen Fähigkeiten?; Help
Kannst du mir Orientierung geben?; Help
Wäre toll, wenn du mich unterstützen könntest.; Help
Was für Funktionen hast du?; Help
Kannst du mir Tipps geben?; Help
Was sind deine Stärken?; Help
Kannst du mich begleiten?; Help
Welche Aufgaben kannst du erledigen?; Help
Wäre dankbar für deine Ratschläge.; Help
Welche Anweisungen verstehst du?; Help
Welche Aufgaben sind für dich geeignet?; Help
Was sind deine Grenzen?; Help
Kannst du mir zur Seite stehen?; Help
Brauche Unterstützung!; Help
Was kann ich mit dir machen?; Help
Kannst du mir Lösungen bieten?; Help
Kannst du mir beistehen?; Help
Was kann ich tun?; Help
Was sind deine Fähigkeiten?; Help
Was kannst du eigentlich?; Help
Habe Schwierigkeiten, kannst du mich unterstützen?; Help
Was sind deine Eigenschaften?; Help
Kannst du mich beraten und unterstützen?; Help
Kannst du mich aufklären und unterstützen? ; Help
Welche Funktionen stehen mir zur Verfügung?; Help
Was kannst du mir bieten?; Help
Kannst du mir eine Lösung präsentieren?; Help
Was hast du zu bieten?; Help
Ich strebe an, in drei Monaten fertig zu sein.; InformCompletionGoal
Mein Ziel ist es, in drei Monaten alle Prüfungen des Kurses bestanden zu haben.; InformCompletionGoal
In drei Monaten möchte ich den Kurs erfolgreich abschließen.; InformCompletionGoal
Innerhalb der nächsten drei Monate möchte ich den Kurs absolvieren.; InformCompletionGoal
Ich habe vor, innerhalb von drei Monaten den Kurs zu beenden.; InformCompletionGoal
Mein Ziel ist es, innerhalb von drei Monaten den Kurs abzuschließen.; InformCompletionGoal
In drei Monaten sollte ich mit dem Kurs fertig sein.; InformCompletionGoal
Innerhalb von drei Monaten will ich den Kurs durchlaufen haben.; InformCompletionGoal
Ich will in drei Monaten erfolgreich den Kurs abgeschlossen haben.; InformCompletionGoal
In drei Monaten möchte ich alle Lernziele des Kurses erreicht haben.; InformCompletionGoal
Ich will den Kurs in drei Monaten abgeschlossen haben.; InformCompletionGoal
Ich strebe an, in drei Monaten den Kurs erfolgreich beendet zu haben.; InformCompletionGoal
In drei Monaten möchte ich den Kurs abgeschlossen haben.; InformCompletionGoal
Ich plane, in drei Monaten mit dem Kurs fertig zu sein.; InformCompletionGoal
In drei Monaten möchte ich den Kurs beendet haben.; InformCompletionGoal
Ich möchte den Kurs innerhalb von drei Monaten erfolgreich durchlaufen haben.; InformCompletionGoal
Mein Ziel ist es, in drei Monaten alle Kurseinheiten durchgearbeitet zu haben.; InformCompletionGoal
Mein Ziel ist es, in drei Monaten alle Lerninhalte des Kurses abzuschließen.; InformCompletionGoal
Ich beabsichtige, innerhalb von drei Monaten mit dem Kurs fertig zu sein.; InformCompletionGoal
Ich will in drei Monaten fertig sein.; InformCompletionGoal
Ich plane, den Kurs in drei Monaten zu beenden.; InformCompletionGoal
Ich möchte in drei Monaten alle Kursinhalte durchgearbeitet haben.; InformCompletionGoal
In drei Monaten möchte ich mit dem Kurs fertig sein.; InformCompletionGoal
Ich strebe danach, in drei Monaten den Kurs erfolgreich abzuschließen.; InformCompletionGoal
Mein Ziel ist es, in drei Monaten den Kurs zu bestehen.; InformCompletionGoal
Meine Zielvorgabe lautet, in drei Monaten mit dem Kurs durchzukommen.; InformCompletionGoal
Mein Ziel ist es, in drei Monaten abzuschließen.; InformCompletionGoal
Innerhalb von drei Monaten möchte ich den Kurs erfolgreich absolvieren.; InformCompletionGoal
Mein Ziel ist es, in drei Monaten den Kurs erfolgreich durchzulaufen.; InformCompletionGoal
Mein Ziel ist es, den Kurs in drei Monaten abzuschließen.; InformCompletionGoal
Ich will in drei Monaten alle Themen des Kurses durchgearbeitet haben.; InformCompletionGoal
In drei Monaten möchte ich den Kurs erfolgreich absolvieren.; InformCompletionGoal
Ich habe vor, innerhalb von drei Monaten mit dem Kurs fertig zu werden.; InformCompletionGoal
Innerhalb von drei Monaten möchte ich den Kurs beendet haben.; InformCompletionGoal
Ich möchte den Kurs in drei Monaten durchlaufen haben.; InformCompletionGoal
Ich habe den Plan, in drei Monaten den Kurs erfolgreich zu absolvieren.; InformCompletionGoal
Ich möchte den Kurs erfolgreich innerhalb von drei Monaten abgeschlossen haben.; InformCompletionGoal
Ich möchte innerhalb von drei Monaten mit dem Kurs durchkommen.; InformCompletionGoal
Mein Ziel ist es, innerhalb von drei Monaten fertig zu werden.; InformCompletionGoal
Innerhalb der nächsten drei Monate möchte ich den Kurs abschließen.; InformCompletionGoal
Ich möchte den Kurs in drei Monaten beendet haben.; InformCompletionGoal
Ich habe vor, innerhalb von drei Monaten den Kurs erfolgreich abzuschließen.; InformCompletionGoal
Mein Ziel ist es, innerhalb von drei Monaten den Kurs zu beenden.; InformCompletionGoal
In drei Monaten möchte ich das Zertifikat für den Kurs erwerben.; InformCompletionGoal
Mein Ziel ist es, den Kurs in drei Monaten abgeschlossen zu haben.; InformCompletionGoal
In drei Monaten möchte ich den Kurs erfolgreich durchlaufen haben.; InformCompletionGoal
Mein Ziel ist es, in drei Monaten den Kurs erfolgreich zu abschließen.; InformCompletionGoal
Ich strebe an, den Kurs in drei Monaten erfolgreich abzuschließen.; InformCompletionGoal
Ich möchte in drei Monaten alle Module des Kurses durchgearbeitet haben.; InformCompletionGoal
Mein Wunsch ist es, in drei Monaten den Kurs abzuschließen.; InformCompletionGoal
Es ist mein Ziel, in drei Monaten mit dem Kurs fertig zu sein.; InformCompletionGoal
In drei Monaten möchte ich alle Aufgaben des Kurses erledigt haben.; InformCompletionGoal
Ich plane, in drei Monaten den Kurs erfolgreich zu absolvieren.; InformCompletionGoal
Welches Thema kann ich schnell durchgehen, um Zeit zu sparen?; InformTimeConstraint
Welche Themen sind in nur 30 Minuten erlernbar?; InformTimeConstraint
Ich möchte in 30 Minuten etwas erledigen, was soll ich lernen?; InformTimeConstraint
Welches Modul kann ich in 30 Minuten schaffen?; InformTimeConstraint
Ich möchte eine kurze Lerneinheit finden, die ich in 30 Minuten schaffen kann. Was schlagen Sie vor?; InformTimeConstraint
Ich habe heute nicht viel Zeit, was sind meine Optionen?; InformTimeConstraint
Welche Einheiten sind in einer kurzen Zeitspanne erlernbar?; InformTimeConstraint
Was kann ich tun, um in einer kurzen Zeitspanne Fortschritte zu machen?; InformTimeConstraint
Welche Themen sind in einer kurzen Zeitspanne erlernbar?; InformTimeConstraint
Ich habe nur 30 Minuten Zeit zum Lernen, was ist das Beste, was ich tun kann?; InformTimeConstraint
Welches Modul passt in meinen Zeitrahmen von 30 Minuten?; InformTimeConstraint
Gibt es ein Thema, das ich in kurzer Zeit verstehen kann?; InformTimeConstraint
Was kann ich in einer halben Stunde lernen, um meine Lernziele zu erreichen?; InformTimeConstraint
Kannst du mir eine kurze Lektion empfehlen, die in einer halben Stunde abgeschlossen werden kann?; InformTimeConstraint
Ich habe nur 30 Minuten Zeit, was ist die beste Verwendung meiner Lernzeit?; InformTimeConstraint
Kannst du mir eine kurze Lektion vorschlagen, die ich in 30 Minuten absolvieren kann?; InformTimeConstraint
Welches Modul kann ich schnell erledigen, um meine Lernzeit zu maximieren.; InformTimeConstraint
Welches Thema ist am besten für eine halbe Stunde Lernzeit geeignet?; InformTimeConstraint
Kannst du mir etwas vorschlagen, das ich in 30 Minuten durchgehen kann?; InformTimeConstraint
Ich habe heute nur eine halbe Stunde Zeit, was kann ich in dieser Zeit lernen?; InformTimeConstraint
Welche Lektion ist kurz genug, um in 30 Minuten abgeschlossen zu werden?; InformTimeConstraint
Kannst du mir ein Thema empfehlen, das ich in einer halben Stunde schaffen kann?; InformTimeConstraint
Ich habe heute nur 30 Minuten; InformTimeConstraint
Gibt es ein Modul, das ich in einer halben Stunde erledigen kann?; InformTimeConstraint
Kann ich etwas Nützliches in nur 30 Minuten lernen?; InformTimeConstraint
Ich kann heute nur eine kurze Zeit lernen, was ist empfehlenswert?; InformTimeConstraint
Welche Module sind kurz genug, um in nur 30 Minuten abgeschlossen zu werden?; InformTimeConstraint
Ich möchte eine Lerneinheit finden, die ich in einer halben Stunde durchgehen kann. Was schlagen Sie vor?; InformTimeConstraint
Welche Module sind in einer kurzen Zeitspanne erlernbar?; InformTimeConstraint
Welches Modul kann ich in 30 Minuten erledigen?; InformTimeConstraint
Ich habe nicht viel Zeit, aber ich möchte trotzdem etwas lernen, was empfiehlst du mir?; InformTimeConstraint
Was kann ich in 30 Minuten tun, um weiterzukommen?; InformTimeConstraint
Welche Einheiten sind kurz genug, um in nur 30 Minuten abgeschlossen zu werden?; InformTimeConstraint
Welche Themen sind kurz genug für eine halbe Stunde Lernzeit?; InformTimeConstraint
Welches Modul kann ich in einer kurzen halben Stunde absolvieren?; InformTimeConstraint
Welches Thema kann ich in 30 Minuten bewältigen?; InformTimeConstraint
Kannst du mir eine schnelle Lektion empfehlen, die ich in 30 Minuten machen kann?; InformTimeConstraint
Kannst du mir eine Einheit empfehlen, die in 30 Minuten abgeschlossen werden kann?; InformTimeConstraint
Ich muss in einer Modul sind kurz genug, um in nur 30 Minuten abgeschlossen zu werden?; InformTimeConstraint
Ist es möglich, in nur 30 Minuten etwas zu lernen, und wenn ja, was empfehlen Sie?; InformTimeConstraint
Wie kann ich meine Zeit am besten nutzen, wenn ich nur 30 Minuten habe?; InformTimeConstraint
Ich habe nicht viel Zeit, aber ich möchte trotzdem lernen, welche Optionen gibt es?; InformTimeConstraint
Gibt es ein Modul, das ich in nur 30 Minuten erledigen kann?; InformTimeConstraint
Kann ich in nur 30 Minuten Fortschritte machen?; InformTimeConstraint
Welche Themen sind kurz genug, um in nur 30 Minuten abgeschlossen zu werden?; InformTimeConstraint
Welches Modul ist für meine begrenzte Lernzeit geeignet?; InformTimeConstraint
Ich habe nur eine halbe Stunde Zeit, was ist das Beste, was ich tun kann?; InformTimeConstraint
Was kann ich in einer halben Stunde lernen, um das Beste aus meiner Zeit zu machen?; InformTimeConstraint
Welche Einheit passt in meine beschränkte Lernzeit von 30 Minuten?; InformTimeConstraint
Gibt es ein Thema, das ich in nur 30 Minuten verstehen kann?; InformTimeConstraint
Ich habe heute nur eine halbe Stunde Zeit, welche Lektion ist am besten für mich?; InformTimeConstraint
Ich habe nicht viel Zeit heute, was empfiehlst du mir zu lernen?; InformTimeConstraint
Könntest du mir bitte weitere Ergebnisse anzeigen, die meiner Suche entsprechen?; LoadMoreSearchResults
Zeige mir bitte alle weiteren passenden Ergebnisse.; LoadMoreSearchResults
Könntest du mir bitte noch mehr relevante Ergebnisse zeigen?; LoadMoreSearchResults
Ich brauche noch mehr Informationen zu meinem Thema.; LoadMoreSearchResults
Ich benötige mehr Suchergebnisse, um meine Recherche zu vervollständigen. Kannst du mir bitte weiterhelfen?; LoadMoreSearchResults
Könntest du mir bitte noch weitere relevante Suchergebnisse anzeigen?; LoadMoreSearchResults
Könntest du mir bitte alle weiteren relevanten Ergebnisse zeigen, die zu meiner Suche passen?; LoadMoreSearchResults
Ich bin noch nicht zufrieden mit den Suchergebnissen. Könntest du mir weitere zeigen?; LoadMoreSearchResults
Ich möchte gerne alle weiteren passenden Ergebnisse angezeigt bekommen.; LoadMoreSearchResults
Zeige mir weitere Ergebnisse.; LoadMoreSearchResults
